"gene_id","0_CGY-40_CGY","DRS-RL","ANTHO_LESS-WT","I:condition_40_CGY.preservative_RL","I:condition_40_CGY.genotype_WT","I:preservative_RL.genotype_WT"
"BRA000034","None","None","None","None","Up","None"
"BRA000200","None","Down","None","None","None","None"
"BRA000556","None","Down","None","None","None","None"
"BRA000972","None","None","None","None","Up","None"
"BRA001035","None","Down","None","None","None","None"
"BRA001474","None","None","None","None","Up","None"
"BRA001845","None","Down","None","None","None","None"
"BRA002503","None","None","None","None","Down","None"
"BRA002617","None","Down","None","None","None","None"
"BRA002710","None","None","None","None","Up","None"
"BRA003110","None","Up","None","None","None","None"
"BRA003122","None","None","None","None","Down","None"
"BRA003511","None","None","None","None","Down","None"
"BRA004228","None","Down","None","None","None","None"
"BRA004320","None","Down","None","None","None","None"
"BRA004732","None","Up","None","None","None","None"
"BRA004801","None","Down","None","None","None","None"
"BRA005599","None","None","Up","None","None","None"
"BRA005900","None","None","None","None","Up","None"
"BRA006303","None","Up","None","None","None","None"
"BRA006454","None","Down","None","None","None","None"
"BRA006998","None","Down","None","None","None","None"
"BRA007581","None","Down","None","None","None","None"
"BRA007907","None","None","Down","None","None","None"
"BRA008185","None","None","Up","None","None","None"
"BRA008452","None","None","Down","None","None","None"
"BRA008610","None","Down","None","None","None","None"
"BRA008641","None","None","Up","None","None","None"
"BRA008872","None","None","Up","None","None","None"
"BRA008912","None","None","Down","None","None","None"
"BRA009005","None","None","Up","None","None","None"
"BRA009810","None","Up","None","None","None","None"
"BRA010210","None","None","Up","None","None","None"
"BRA011079","None","Down","None","None","None","None"
"BRA011194","None","Down","None","None","None","None"
"BRA011491","None","None","None","None","Down","Up"
"BRA012054","None","None","Down","None","None","None"
"BRA012114","None","None","Down","None","None","None"
"BRA012128","None","None","Down","None","None","None"
"BRA012172","None","Up","None","None","None","None"
"BRA012690","None","Down","None","None","None","None"
"BRA012922","None","Down","None","None","None","None"
"BRA012958","None","None","None","None","Up","None"
"BRA013345","None","Up","None","None","None","None"
"BRA014505","None","Up","None","None","None","None"
"BRA014975","None","Down","None","None","None","None"
"BRA015047","None","Up","None","None","None","None"
"BRA016080","None","Down","None","None","None","None"
"BRA016183","None","None","Up","None","None","None"
"BRA016440","None","None","Down","None","None","None"
"BRA016652","None","Down","None","None","None","None"
"BRA016735","None","Down","None","None","None","None"
"BRA017888","None","None","None","None","Up","None"
"BRA017935","None","None","Down","None","None","None"
"BRA018122","None","None","Up","None","None","None"
"BRA018587","None","None","Down","None","None","None"
"BRA018703","None","None","Down","None","None","None"
"BRA018891","None","Down","None","None","None","None"
"BRA018892","None","None","Up","None","None","None"
"BRA019132","None","None","Up","None","None","None"
"BRA019356","None","Up","None","None","None","None"
"BRA019837","None","None","Down","None","None","None"
"BRA019897","None","Down","None","None","None","None"
"BRA019958","None","None","Up","None","None","None"
"BRA019961","None","None","Up","None","None","None"
"BRA020209","None","None","None","None","Up","None"
"BRA020845","None","None","Up","None","None","None"
"BRA021084","None","Up","None","None","None","None"
"BRA021158","None","None","None","None","Up","None"
"BRA021177","None","None","Up","None","Up","None"
"BRA021508","None","None","None","None","Up","None"
"BRA021706","None","None","None","None","Down","None"
"BRA022830","None","None","None","None","Up","None"
"BRA022865","None","Down","None","None","None","None"
"BRA023045","None","Down","None","None","None","None"
"BRA024107","None","Down","None","None","None","None"
"BRA024192","None","None","Down","None","None","None"
"BRA024239","None","Down","None","None","None","None"
"BRA024634","None","None","None","None","Up","None"
"BRA024934","None","Down","None","None","None","None"
"BRA025161","None","None","Up","None","None","None"
"BRA025198","None","None","None","None","Down","None"
"BRA025683","None","Down","None","None","None","None"
"BRA026187","None","Down","None","None","None","None"
"BRA027045","None","None","Up","None","None","None"
"BRA027108","None","Up","None","None","None","None"
"BRA027457","None","None","Up","None","None","None"
"BRA028174","None","None","Down","None","None","None"
"BRA028219","None","None","Down","None","None","None"
"BRA028345","None","Down","None","None","None","None"
"BRA028462","None","Up","None","None","None","None"
"BRA028906","None","None","None","None","Down","None"
"BRA028941","None","None","Up","None","None","None"
"BRA029497","None","None","Down","None","None","None"
"BRA029633","None","Down","None","None","None","None"
"BRA030771","None","Down","None","None","None","None"
"BRA032055","None","Down","None","None","None","None"
"BRA032170","None","None","Up","None","None","None"
"BRA032713","None","None","Down","None","None","None"
"BRA032906","None","None","None","None","Up","None"
"BRA033837","None","None","Up","None","None","None"
"BRA033937","None","None","None","None","Down","None"
"BRA034020","None","None","None","None","Up","None"
"BRA034887","None","None","Up","None","None","None"
"BRA035241","None","None","Up","None","None","None"
"BRA036316","None","None","Up","None","None","None"
"BRA036408","None","Up","None","None","None","None"
"BRA037098","None","None","Up","None","None","None"
"BRA037400","None","None","None","None","Down","None"
"BRA037914","None","Up","None","None","None","None"
"BRA038445","None","Up","None","None","None","None"
"BRA038962","None","None","Down","None","None","None"
"BRA039004","None","Down","None","None","None","None"
"BRA039348","None","Up","None","None","None","None"
"BRA040851","None","Up","None","None","None","None"
"BRA041075","None","None","None","None","Down","None"
"BRA041148","None","Up","None","None","Down","None"
"ENSRNA049452889","None","Down","None","None","None","None"
"ENSRNA049453624","None","Down","None","None","None","None"
"ENSRNA049454276","None","Down","None","None","None","None"
"ENSRNA049458315","None","Down","None","None","None","None"
"ENSRNA049458675","None","Down","Down","None","None","None"
"ENSRNA049459226","None","Down","None","None","None","None"
"ENSRNA049459769","None","Down","None","None","None","None"
"ENSRNA049459793","None","Down","None","None","None","None"
"ENSRNA049460011","None","Up","None","None","None","None"
"ENSRNA049460273","None","Down","None","None","None","None"
"ENSRNA049460521","None","Down","None","None","None","None"
"ENSRNA049462490","None","Down","None","None","None","None"
"ENSRNA049462500","None","Down","None","None","None","None"
"ENSRNA049462518","None","Down","None","None","None","None"
"ENSRNA049462534","None","Down","None","None","None","None"
"ENSRNA049462557","None","Down","None","None","None","None"
