"gene_id","ANTHO_LESS_&_0_CGY-WT_&_0_CGY","ANTHO_LESS_&_40_CGY-ANTHO_LESS_&_0_CGY","ANTHO_LESS_&_40_CGY-WT_&_40_CGY","WT_&_40_CGY-WT_&_0_CGY"
"BRA000034","None","None","Down","None"
"BRA000159","None","None","Down","None"
"BRA000285","None","None","Up","None"
"BRA000317","None","None","Down","None"
"BRA001474","None","None","Down","None"
"BRA001525","None","None","Down","None"
"BRA002503","Down","None","None","None"
"BRA002537","None","None","Up","Down"
"BRA002617","None","None","Up","None"
"BRA002786","None","None","Up","None"
"BRA002984","None","None","Up","None"
"BRA003122","None","None","None","Down"
"BRA003270","None","None","Down","None"
"BRA003792","None","None","Up","None"
"BRA004512","None","None","Down","Up"
"BRA005238","None","None","Down","Up"
"BRA005423","None","None","Up","Down"
"BRA005456","None","None","Up","None"
"BRA005458","None","None","Up","None"
"BRA005575","None","None","Down","None"
"BRA006303","None","None","Up","None"
"BRA007055","None","None","Up","None"
"BRA008512","None","None","Down","None"
"BRA008627","None","None","Up","None"
"BRA008847","None","None","Down","None"
"BRA009005","Up","None","None","None"
"BRA009583","None","None","Down","None"
"BRA010473","None","None","Up","None"
"BRA010592","None","None","Down","None"
"BRA010602","None","None","Up","None"
"BRA010976","None","None","Down","None"
"BRA011017","None","None","Up","None"
"BRA011030","None","None","Down","None"
"BRA011255","None","None","Up","None"
"BRA011794","None","None","Down","None"
"BRA012114","None","None","Down","None"
"BRA012659","None","None","Down","None"
"BRA012696","None","None","Down","None"
"BRA012767","None","None","Down","None"
"BRA012891","None","None","Up","Down"
"BRA013390","None","None","Up","None"
"BRA013774","None","None","Down","None"
"BRA013887","None","None","Down","None"
"BRA013951","None","None","Down","None"
"BRA013985","None","None","Up","None"
"BRA014106","None","None","Up","None"
"BRA014494","None","None","Down","None"
"BRA014873","None","None","Up","None"
"BRA015050","None","None","Up","None"
"BRA015346","None","None","Down","None"
"BRA015522","None","None","Down","None"
"BRA015788","None","None","None","Down"
"BRA015852","None","None","Down","None"
"BRA016144","None","None","Up","None"
"BRA016183","Up","None","Up","None"
"BRA016241","None","None","Down","None"
"BRA016440","Down","None","None","None"
"BRA016689","None","None","None","Up"
"BRA016941","None","None","Up","None"
"BRA017004","None","None","Down","None"
"BRA017655","None","None","Up","None"
"BRA017888","None","None","Down","None"
"BRA018116","None","None","Down","None"
"BRA018419","None","None","Down","None"
"BRA018543","None","None","Down","None"
"BRA018554","None","None","Down","None"
"BRA018810","None","None","Up","None"
"BRA019144","None","None","Down","None"
"BRA019837","Down","None","None","None"
"BRA020022","None","None","Up","None"
"BRA020161","None","None","Up","None"
"BRA020209","None","None","Down","None"
"BRA020310","None","None","Up","None"
"BRA020845","Up","None","None","None"
"BRA021044","None","None","Down","None"
"BRA021148","None","None","Down","None"
"BRA021158","None","None","Down","None"
"BRA021171","None","None","Up","None"
"BRA021665","None","None","Down","None"
"BRA021706","None","None","Up","None"
"BRA022151","None","None","Down","None"
"BRA022378","None","None","None","Up"
"BRA022830","None","None","None","Up"
"BRA023863","None","None","Down","None"
"BRA025044","None","None","Down","None"
"BRA025198","None","None","Up","None"
"BRA025281","None","None","Up","None"
"BRA025340","None","None","Up","None"
"BRA025529","None","None","Down","None"
"BRA025663","None","None","Down","None"
"BRA025811","None","None","Up","None"
"BRA025862","None","None","Down","None"
"BRA026686","Down","None","None","None"
"BRA027533","None","None","Up","None"
"BRA027673","None","None","Down","None"
"BRA028219","Down","None","Down","None"
"BRA028924","None","None","Down","Up"
"BRA028952","None","None","Down","None"
"BRA029041","None","None","Down","Up"
"BRA029497","Down","None","None","None"
"BRA029502","None","None","Up","None"
"BRA029775","None","None","Down","None"
"BRA029936","None","None","Up","None"
"BRA030202","None","None","Down","None"
"BRA031247","None","None","Up","None"
"BRA031351","None","None","Down","None"
"BRA031945","None","None","Up","None"
"BRA032152","None","None","Up","None"
"BRA032170","None","None","Up","None"
"BRA032268","None","None","Down","None"
"BRA032319","None","None","Down","None"
"BRA032425","None","None","Up","None"
"BRA032906","None","None","Down","None"
"BRA033478","None","None","Up","None"
"BRA033627","Up","None","Up","None"
"BRA033775","None","None","Down","None"
"BRA034020","None","None","Down","None"
"BRA034402","None","None","Down","None"
"BRA035105","None","None","Down","None"
"BRA035593","None","None","Down","None"
"BRA035686","None","None","Down","None"
"BRA036316","Up","None","None","None"
"BRA036791","None","None","Up","None"
"BRA036936","None","None","Down","None"
"BRA037443","Up","None","None","None"
"BRA037456","None","None","Down","None"
"BRA037463","None","None","Down","None"
"BRA038022","None","None","Down","None"
"BRA038304","Up","None","Up","None"
"BRA038498","None","None","Up","None"
"BRA038734","None","None","Down","None"
"BRA038962","None","None","Down","None"
"BRA039400","None","None","Down","None"
"BRA040103","None","None","Up","None"
"BRA040293","None","None","Up","None"
"BRA040475","None","None","Down","None"
"BRA040851","Down","None","None","None"
"BRA040895","None","None","Down","None"
"BRA041075","None","None","None","Down"
"BRA041148","None","None","Up","None"
"BRA041155","None","None","Up","None"
"ENSRNA049453647","None","None","Up","None"
"ENSRNA049453737","None","None","Up","None"
"ENSRNA049454714","None","None","Up","None"
"ENSRNA049460011","None","None","Up","None"
"ENSRNA049460362","None","None","Up","None"
