"symbol","ensembl_ID","User_ID","baseMean","ANTHO_LESS_&_0_CGY-WT_&_0_CGY_log2FC","ANTHO_LESS_&_0_CGY-WT_&_0_CGY_adjPval","ANTHO_LESS_&_40_CGY-ANTHO_LESS_&_0_CGY_log2FC","ANTHO_LESS_&_40_CGY-ANTHO_LESS_&_0_CGY_adjPval","ANTHO_LESS_&_40_CGY-WT_&_40_CGY_log2FC","ANTHO_LESS_&_40_CGY-WT_&_40_CGY_adjPval","WT_&_40_CGY-WT_&_0_CGY_log2FC","WT_&_40_CGY-WT_&_0_CGY_adjPval","Processed data:","search_label","AL0D_1_GLbulkRNAseq_sub","AL0D_2_GLbulkRNAseq_sub","AL0D_3_GLbulkRNAseq_sub","AL0D_4_GLbulkRNAseq_sub","AL0D_5_GLbulkRNAseq_sub","AL0R_1_GLbulkRNAseq_sub","AL0R_2_GLbulkRNAseq_sub","AL0R_3_GLbulkRNAseq_sub","AL0R_4_GLbulkRNAseq_sub","AL0R_5_GLbulkRNAseq_sub","AL40D_1_GLbulkRNAseq_sub","AL40D_2_GLbulkRNAseq_sub","AL40D_3_GLbulkRNAseq_sub","AL40D_4_GLbulkRNAseq_sub","AL40D_5_GLbulkRNAseq_sub","AL40R_1_GLbulkRNAseq_sub","AL40R_2_GLbulkRNAseq_sub","AL40R_3_GLbulkRNAseq_sub","AL40R_4_GLbulkRNAseq_sub","W0D_1_GLbulkRNAseq_sub","W0D_2_GLbulkRNAseq_sub","W0D_3_GLbulkRNAseq_sub","W0D_4_GLbulkRNAseq_sub","W0D_5_GLbulkRNAseq_sub","W0R_1_GLbulkRNAseq_sub","W0R_2_GLbulkRNAseq_sub","W0R_3_GLbulkRNAseq_sub","W0R_4_GLbulkRNAseq_sub","W0R_5_GLbulkRNAseq_sub","W40D_1_GLbulkRNAseq_sub","W40D_2_GLbulkRNAseq_sub","W40D_3_GLbulkRNAseq_sub","W40D_4_GLbulkRNAseq_sub","W40D_5_GLbulkRNAseq_sub","W40R_1_GLbulkRNAseq_sub","W40R_2_GLbulkRNAseq_sub","W40R_3_GLbulkRNAseq_sub","W40R_4_GLbulkRNAseq_sub","W40R_5_GLbulkRNAseq_sub"
"rbcL","BRA028087","BRA028087",4671.33015215859,-0.0897372996523616,1,0.599203441462094,1,0.229063026612708,1,0.280403115197024,1,"","rbcL | BRA028087",12.9959136383867,11.2162915185967,11.3299306439166,11.7390251520553,9.16804071381046,12.7141813953905,12.8421916362017,10.8028722227255,11.1805156564106,10.8139213447776,12.9026270436493,11.5784895511889,10.1952882654662,12.5557255512697,11.7867024741653,12.3545007703966,12.4675985778511,13.9629549074377,10.7518106983632,13.2791159826583,12.8598082683429,12.056092086622,11.3114712057101,9.93928743231204,12.6378535529476,11.3865740320279,12.2917065051204,10.3791549793255,9.62894800106549,8.83909519980213,12.1176673060609,13.7686084606234,13.7306436574776,13.504500954334,10.1119582444612,10.0432879511474,12.2506322229964,11.0147528628511,9.44054697401417
"BRA015187","BRA015187","BRA015187",7210.82044806903,-0.164464873263817,1,0.348709336356174,1,1.17926810115171,0.176580138275927,-0.995023638059353,0.531298240586416,"","BRA015187",12.6607204571861,12.9377948319579,12.2222769407116,13.1864011762109,11.2331295178358,13.8521277277898,13.8015448472671,12.5474979655724,12.0130634052289,11.9123741458249,13.055635213496,13.3889312141463,12.2699814211978,13.3559480741027,13.248482994356,12.801102480962,14.0047043395051,13.4737965782977,12.2080327094044,13.1289002707971,13.3437316892901,13.2681801542016,12.9679260898786,13.1372222899224,13.2869780730044,13.0651514889479,13.3630211810889,12.1254295040292,11.125125354399,10.7748034376721,11.3698517552781,12.0085403106272,10.9201816423649,13.2307157292436,11.6237852897672,12.8462340362982,12.1044367821233,12.5859635268121,7.94400714764547
"LSU_rRNA_eukarya ENSRNA049455221","ENSRNA049455221","ENSRNA049455221",529.652273230119,-0.544972176755125,1,-0.541364321119899,1,0.236225757899243,1,-1.32256225577427,0.533993013143305,"","LSU_rRNA_eukarya ENSRNA049455221 | ENSRNA049455221",8.39381427920784,7.62730264404691,7.54764683730209,8.2819946815692,10.2050858605383,8.68568370747861,7.68251934074202,8.78994857423547,6.85280054193134,10.1912637277315,7.69096687228863,7.1423068254015,8.12895624769181,7.31326966519888,7.72552512526559,9.33026129299183,9.35458925108804,7.21598309505938,9.95936231478797,7.70672938871309,8.30524270998899,7.80308658414419,7.71011976308564,8.90043697681213,12.6703016555077,8.71643083021487,9.46929326951971,8.14757335395294,7.38802261936432,8.07850747630842,7.56698677915167,7.08895853565385,7.03774424338905,7.6389386542375,6.53266194106092,9.32187770035159,9.36409225154054,9.44744030181206,8.0368209625138
"BRA008641","BRA008641","BRA008641",648.523559819173,2.91074697882605,1,-0.0763946105428067,1,1.8709454270679,1,0.963406941215343,1,"","BRA008641",10.6214428623401,2,11.1166965760157,11.2454370858903,10.0469253689279,10.2484089697371,2,9.37730689826831,7.99653066902336,9.38217728502156,10.8764388578948,10.1289982162654,2,10.2265328760401,10.3684954792659,2,11.0446231496163,10.0283324825723,9.45206765470858,2,2,2,2,2,10.971236185398,2,2,2,8.61867553125101,9.46253801414043,8.53691632604591,2,2,2,10.1151849262618,2,8.48429265813006,9.92645572474662,2
"BRA018810","BRA018810","BRA018810",1190.07660754769,0.48846630045648,1,0.232749179784493,1,1.89401215227549,0.00229511159065312,-1.17279667203452,0.305397574768396,"","BRA018810",9.02510360351898,10.0581929130965,10.7131707376803,9.39599692981447,10.8720868431948,11.1356003625925,10.5708059284531,9.60900921160858,10.3697397560438,11.627951305388,9.27117388320752,9.39982872022199,10.4912132958493,10.4714557169678,9.98087856087356,9.41538268605045,12.083246011556,12.0708506715022,10.9819195293266,8.37956006450081,9.41758730654506,10.5505078856298,9.82124984225067,10.1449543972616,9.60382559288822,10.831007708283,10.6495655698803,9.96530834120868,8.99503186845421,9.29363508805964,8.16650777539099,5.37150365678566,7.99791724020663,8.53753038136191,8.61845176663823,10.042288142968,8.67212916933864,10.0821398588709,8.69027426314172
"SSU_rRNA_eukarya ENSRNA049455277","ENSRNA049455277","ENSRNA049455277",215.789143745754,-0.556139665913583,NA,-0.561918119275244,NA,0.10742462547092,NA,-1.22548241065975,NA,"","SSU_rRNA_eukarya ENSRNA049455277 | ENSRNA049455277",7.03712633456561,5.48300542380955,2.70035653252308,6.76035509181266,8.42310332545664,6.93408593631371,6.38650917192974,7.05866596734716,5.64883290029617,9.66895525400972,2.80322317650244,6.4660108495762,6.35378691094968,5.96534541228804,6.09612326139267,8.5058313881909,7.88180508009708,6.26468408246074,8.5583118537244,6.03934913090861,3.0030593088623,6.62486543081931,6.01999122610974,7.19878326515975,11.655479477587,7.4228964002538,7.48332811962445,6.59230932178382,6.2587034631065,5.913957192853,7.00989666910309,6.30006571636017,4.96412029905648,6.34543092205761,5.29678640907781,7.56182423473305,7.99862438103183,7.9749500084102,6.94171981452508
"SSU_rRNA_eukarya ENSRNA049460033","ENSRNA049460033","ENSRNA049460033",215.789143745754,-0.556139665913583,NA,-0.561918119275244,NA,0.10742462547092,NA,-1.22548241065975,NA,"","SSU_rRNA_eukarya ENSRNA049460033 | ENSRNA049460033",7.03712633456561,5.48300542380955,2.70035653252308,6.76035509181266,8.42310332545664,6.93408593631371,6.38650917192974,7.05866596734716,5.64883290029617,9.66895525400972,2.80322317650244,6.4660108495762,6.35378691094968,5.96534541228804,6.09612326139267,8.5058313881909,7.88180508009708,6.26468408246074,8.5583118537244,6.03934913090861,3.0030593088623,6.62486543081931,6.01999122610974,7.19878326515975,11.655479477587,7.4228964002538,7.48332811962445,6.59230932178382,6.2587034631065,5.913957192853,7.00989666910309,6.30006571636017,4.96412029905648,6.34543092205761,5.29678640907781,7.56182423473305,7.99862438103183,7.9749500084102,6.94171981452508
"SSU_rRNA_eukarya ENSRNA049455263","ENSRNA049455263","ENSRNA049455263",220.660599306912,-0.629266999170366,NA,-0.64525825243504,NA,0.536076157948675,NA,-1.81060140955408,NA,"","SSU_rRNA_eukarya ENSRNA049455263 | ENSRNA049455263",7.03712633456561,5.48300542380955,6.55438176369371,6.76035509181266,8.50795144252295,6.93408593631371,6.38650917192974,7.05866596734716,5.64883290029617,9.66895525400972,6.80766819802313,2.94672863521782,6.35378691094968,5.96534541228804,6.09612326139267,8.5058313881909,7.88180508009708,6.26468408246074,8.5583118537244,6.03934913090861,7.75419151538978,6.62486543081931,6.01999122610974,7.19878326515975,11.655479477587,7.4228964002538,7.48332811962445,6.59230932178382,6.2587034631065,5.913957192853,2.51072456414322,6.30006571636017,4.96412029905648,6.34543092205761,5.29678640907781,7.56182423473305,7.99862438103183,7.80897548161083,6.94171981452508
"SSU_rRNA_eukarya ENSRNA049456058","ENSRNA049456058","ENSRNA049456058",220.660599306912,-0.629266999170366,NA,-0.64525825243504,NA,0.536076157948675,NA,-1.81060140955408,NA,"","SSU_rRNA_eukarya ENSRNA049456058 | ENSRNA049456058",7.03712633456561,5.48300542380955,6.55438176369371,6.76035509181266,8.50795144252295,6.93408593631371,6.38650917192974,7.05866596734716,5.64883290029617,9.66895525400972,6.80766819802313,2.94672863521782,6.35378691094968,5.96534541228804,6.09612326139267,8.5058313881909,7.88180508009708,6.26468408246074,8.5583118537244,6.03934913090861,7.75419151538978,6.62486543081931,6.01999122610974,7.19878326515975,11.655479477587,7.4228964002538,7.48332811962445,6.59230932178382,6.2587034631065,5.913957192853,2.51072456414322,6.30006571636017,4.96412029905648,6.34543092205761,5.29678640907781,7.56182423473305,7.99862438103183,7.80897548161083,6.94171981452508
"Plant_SRP ENSRNA049455681","ENSRNA049455681","ENSRNA049455681",396.046031318855,0.186256485394265,1,0.407745508319677,1,0.398874720033145,1,0.195127273680797,1,"","Plant_SRP ENSRNA049455681 | ENSRNA049455681",7.88890252449241,8.1971025877733,8.46993658254756,7.46778826278054,8.16159073300808,7.97419390738811,8.34901179562087,8.17752684758436,9.84511378252753,9.62673158605838,8.92926423854974,8.12173615443819,8.42199920415939,8.14366239219888,8.43560846653119,10.114977541423,8.79558478803473,9.7917895838953,8.70529396249042,8.95873514325631,8.43230597588401,8.08046793167493,7.86999033675674,7.79522751475231,8.31335300409411,8.43579284109653,8.4144832828475,8.24074765406886,8.45937126716722,8.06301705803087,9.06442411027736,6.43089599424142,8.26719220623032,8.25962023290448,9.24048566497301,8.05366063867994,8.4447475278929,7.84277887165918,9.81183336564325
