bra_id	BRA_id	in_scent_data	in_radiation_data	scent_evidence
Bra000133	BRA000133	1	1	GO:phenylpropanoid biosynthetic process
Bra000179	BRA000179	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra000271	BRA000271	1	1	GO:oxidoreductase activity, acting on single donors (lipoxygenase)
Bra000568	BRA000568	0	1	GO:isoprenoid biosynthetic process | GO:terpene synthase activity | GO:diterpenoid biosynthetic process | GO:terpenoid biosynthetic process | GO:terpene biosynthetic process | Pfam:Terpene_synth (terpene synthase N) | Pfam:Terpene_synth_C (terpene synthase C)
Bra000630	BRA000630	1	1	GO:jasmonic acid metabolic process | GO:methyl salicylate esterase activity | GO:methyl jasmonate esterase activity
Bra000631	BRA000631	1	1	GO:jasmonic acid metabolic process | GO:methyl salicylate esterase activity | GO:methyl jasmonate esterase activity
Bra000727	BRA000727	0	1	GO:isoprenoid biosynthetic process | GO:terpene synthase activity | GO:diterpenoid biosynthetic process | GO:terpenoid biosynthetic process | GO:terpene biosynthetic process | Pfam:Terpene_synth (terpene synthase N) | Pfam:Terpene_synth_C (terpene synthase C)
Bra000738	BRA000738	1	1	GO:phenylpropanoid biosynthetic process
Bra000864	BRA000864	1	1	GO:isoprenoid biosynthetic process | GO:terpene synthase activity | GO:terpenoid biosynthetic process | Pfam:Terpene_synth (terpene synthase N)
Bra001063	BRA001063	1	1	GO:isoprenoid biosynthetic process
Bra001516	BRA001516	1	1	GO:phenylpropanoid biosynthetic process
Bra001552	BRA001552	1	1	GO:carotenoid dioxygenase activity | GO:oxidoreductase activity, acting on single donors (lipoxygenase)
Bra001555	BRA001555	0	1	GO:terpene synthase activity | GO:sesquiterpene synthase activity | GO:diterpenoid biosynthetic process | GO:terpenoid biosynthetic process | GO:sesquiterpene biosynthetic process | Pfam:Terpene_synth (terpene synthase N) | Pfam:Terpene_synth_C (terpene synthase C)
Bra001556	BRA001556	0	1	GO:isoprenoid biosynthetic process
Bra001557	BRA001557	0	1	GO:terpene synthase activity | GO:sesquiterpene synthase activity | GO:diterpenoid biosynthetic process | GO:terpenoid biosynthetic process | GO:sesquiterpene biosynthetic process | Pfam:Terpene_synth (terpene synthase N) | Pfam:Terpene_synth_C (terpene synthase C)
Bra001731	BRA001731	0	1	GO:jasmonic acid metabolic process | GO:methyl salicylate esterase activity | GO:methyl jasmonate esterase activity
Bra001777	BRA001777	0	1	GO:isoprenoid biosynthetic process
Bra001832	BRA001832	1	1	GO:isoprenoid biosynthetic process | GO:terpenoid biosynthetic process
Bra002026	BRA002026	0	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra002053	BRA002053	1	1	GO:isoprenoid biosynthetic process
Bra002165	BRA002165	1	1	GO:terpene synthase activity | GO:sesquiterpene synthase activity | GO:diterpenoid biosynthetic process | GO:terpenoid biosynthetic process | GO:sesquiterpene biosynthetic process | Pfam:Terpene_synth (terpene synthase N) | Pfam:Terpene_synth_C (terpene synthase C)
Bra002468	BRA002468	1	1	GO:isoprenoid biosynthetic process | GO:terpenoid biosynthetic process
Bra002485	BRA002485	1	1	GO:phenylpropanoid biosynthetic process
Bra002714	BRA002714	0	1	GO:terpene synthase activity | GO:sesquiterpene synthase activity | GO:diterpenoid biosynthetic process | GO:terpenoid biosynthetic process | GO:sesquiterpene biosynthetic process | Pfam:Terpene_synth (terpene synthase N) | Pfam:Terpene_synth_C (terpene synthase C)
Bra002962	BRA002962	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra002967	BRA002967	0	1	GO:terpene synthase activity | GO:terpenoid biosynthetic process | Pfam:Terpene_synth_C (terpene synthase C)
Bra002968	BRA002968	0	1	GO:isoprenoid biosynthetic process | GO:terpene synthase activity | GO:terpenoid biosynthetic process | GO:sesquiterpene biosynthetic process | Pfam:Terpene_synth (terpene synthase N) | Pfam:Terpene_synth_C (terpene synthase C)
Bra003007	BRA003007	1	1	GO:O-methyltransferase activity | Pfam:Methyltransf_2 (O-MT, incl. SABATH-adjacent)
Bra003009	BRA003009	1	1	GO:O-methyltransferase activity | Pfam:Methyltransf_2 (O-MT, incl. SABATH-adjacent)
Bra003126	BRA003126	1	1	GO:phenylpropanoid metabolic process
Bra003184	BRA003184	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
