gene	route	ncbi_accession	protein_length	defline
PhBSMT (Petunia)	ester	sp|A4ZDG8.1|BSMT3_PETHY	357	sp|A4ZDG8.1|BSMT3_PETHY RecName: Full=S-adenosyl-L-methionine:benzoic acid/salicylic acid carboxyl methyltransferase 3; Short=PhBSMT3
PhBPBT (Petunia)	ester	sp|Q6E593.1|BEBT1_PETHY	460	sp|Q6E593.1|BEBT1_PETHY RecName: Full=Benzyl alcohol O-benzoyltransferase; Short=PhBEBT1; AltName: Full=Acetyl CoA:3-hydroxybenzyl alcohol acetyltransferase; AltName: Full=Acetyl CoA:benzyl alcohol acetyltransferase; AltName: Full=Acetyl CoA:geraniol acetyltransferase; AltName: Full=Benzoyl coenzyme A:benzyl alcohol benzoyl transferase; Short=Benzyl CoA:benzyl alcohol/phenylethanol benzoyltransferase; Short=PhBPBT; AltName: Full=Benzyl CoA:(3Z)-hex-3-en-1-ol benzoyltransferase; AltName: Full=Benzyl CoA:2-phenylethanol benzoyltransferase; AltName: Full=Benzyl CoA:3-hydroxybenzyl alcohol benzoyltransferase; AltName: Full=Benzyl CoA:butanol benzoyltransferase; AltName: Full=Benzyl CoA:geraniol benzoyltransferase; AltName: Full=Benzyl CoA:octan-1-ol benzoyltransferase
PhODO1 (Petunia)	regulator	sp|Q50EX6.1|ODO1_PETHY	294	sp|Q50EX6.1|ODO1_PETHY RecName: Full=MYB-like transcription factor ODO1; AltName: Full=Protein ODORANT1; Short=PhODO1
AmBAMT (snapdragon)	ester	sp|Q9FYZ9.1|BAMT_ANTMA	364	sp|Q9FYZ9.1|BAMT_ANTMA RecName: Full=Benzoate carboxyl methyltransferase; AltName: Full=S-adenosyl-L-methionine:benzoic acid carboxyl methyltransferase
AmNES/LIS (snapdragon)	terpenoid	ABR24418.1	596	ABR24418.1 nerolidol/linalool synthase 2 [Antirrhinum majus]
RhNUDX1 (rose)	terpenoid	sp|M4I1C6.1|NUDT1_ROSHC	150	sp|M4I1C6.1|NUDT1_ROSHC RecName: Full=Geranyl diphosphate phosphohydrolase; AltName: Full=Nudix hydrolase 1; Short=RhNUDX1
RhOMT (rose)	benzenoid_phenylpropanoid	AAM23005.1	366	AAM23005.1 orcinol O-methyltransferase [Rosa hybrid cultivar]
