ID,Prompt,Timestamp,Complexity,Style,Template,Color Scheme,Background,Language,Filename
1767924270322,"AT2G26060 (E=4e-080) emb1345 | emb1345 (embryo defective 1345)",2026-01-09T02:04:30.322Z,Expert,Default,Academic 4-Panel (A-D),Default,Pure White,English,at2g26060__e_4e_080__emb1345___1767924270322.png
1767923971432,"Summarize all that is known about the gene in this table using TAIR, use the space as 4 sections, put the gene name and other standard database decriptions at the top using use black text on a white background. Use thalemine, SUBA, eplant, to illustrate the GO biological, GO molecular cellular, GO cellular site, and Tissue and Organ specific. and use red, blue, green, yellow, purple and gradients",2026-01-09T01:59:31.432Z,Expert,Default,Academic 4-Panel (A-D),Default,Pure White,English,summarize_all_that_is_known_ab_1767923971432.png
1767924629187,"AT2G18540 (E=1e-081) | cupin family protein",2026-01-09T02:10:29.187Z,Expert,Default,Academic 4-Panel (A-D),Default,Pure White,English,at2g18540__e_1e_081____cupin_f_1767924629187.png
1767924570496,"AT1G03790 (E=3e-138) SOM | SOM (SOMNUS)",2026-01-09T02:09:30.496Z,Expert,Default,Academic 4-Panel (A-D),Default,Pure White,English,at1g03790__e_3e_138__som___som_1767924570496.png
1767924887797,"AT2G31985 (E=3e-126) | unknown protein",2026-01-09T02:14:47.797Z,Expert,Default,Academic 4-Panel (A-D),Default,Pure White,English,at2g31985__e_3e_126____unknown_1767924887797.png
1767924509277,"AT2G23640 (E=3e-089) | reticulon family protein (RTNLB13)",2026-01-09T02:08:29.277Z,Expert,Default,Academic 4-Panel (A-D),Default,Pure White,English,at2g23640__e_3e_089____reticul_1767924509277.png
1767924456944,"AT1G43760 (E=2e-043) | FUNCTIONS IN: molecular_function unknown",2026-01-09T02:07:36.944Z,Expert,Default,Academic 4-Panel (A-D),Default,Pure White,English,at1g43760__e_2e_043____functio_1767924456944.png
1767924376547,"AT2G06520 (E=3e-017) PSBX | PSBX (photosystem II subunit X)",2026-01-09T02:06:16.547Z,Expert,Default,Academic 4-Panel (A-D),Default,Pure White,English,at2g06520__e_3e_017__psbx___ps_1767924376547.png
1767924322949,"AT4G19500 (E=1e-217) | ATP binding / nucleoside-triphosphatase/ nucleotide binding / protein binding / transmembrane receptor",2026-01-09T02:05:22.949Z,Expert,Default,Academic 4-Panel (A-D),Default,Pure White,English,at4g19500__e_1e_217____atp_bin_1767924322949.png
1767924203688,"AT5G38130 (E=6e-099) | transferase family protein",2026-01-09T02:03:23.688Z,Expert,Default,Academic 4-Panel (A-D),Default,Pure White,English,at5g38130__e_6e_099____transfe_1767924203688.png
1767924120781,"AT1G14800 (E=8e-007) | FUNCTIONS IN: molecular_function unknown",2026-01-09T02:02:00.781Z,Expert,Default,Academic 4-Panel (A-D),Default,Pure White,English,at1g14800__e_8e_007____functio_1767924120781.png
1767924041725,"AT1G42550 (E=2e-270) PMI1 | PMI1 (PLASTID MOVEMENT IMPAIRED1)",2026-01-09T02:00:41.725Z,Expert,Default,Academic 4-Panel (A-D),Default,Pure White,English,at1g42550__e_2e_270__pmi1___pm_1767924041725.png
1767923983963,"AT4G29090 (E=6e-060) | reverse transcriptase",2026-01-09T01:59:43.963Z,Expert,Default,Academic 4-Panel (A-D),Default,Pure White,English,at4g29090__e_6e_060____reverse_1767923983963.png
