kegg_id,symbol,brapa_gene,arabidopsis_agi
ath:AT2G37440,AT2G37440,Bra000001,AT2G37440
ath:AT2G37480,AT2G37480,Bra000003,AT2G37480
ath:AT2G37530,AT2G37530,Bra000004,AT2G37530
ath:AT2G37550,AGD7,Bra000005,AT2G37550
ath:AT2G37580,AT2G37580,Bra000007,AT2G37580
ath:AT2G37630,AS1,Bra000011,AT2G37630
ath:AT2G37650,AT2G37650,Bra000012,AT2G37650
ath:AT2G37700,AT2G37700,Bra000014,AT2G37700
ath:AT2G37770,ChlAKR,Bra000018,AT2G37770
ath:AT2G37800,AT2G37800,Bra000022,AT2G37800
ath:AT2G37840,AT2G37840,Bra000023,AT2G37840
ath:AT2G37860,LCD1,Bra000024,AT2G37860
ath:AT2G37900,AT2G37900,Bra000027,AT2G37900
ath:AT2G37920,emb1513,Bra000028,AT2G37920
ath:AT2G37970,SOUL-1,Bra000031,AT2G37970
ath:AT2G37980,AT2G37980,Bra000033,AT2G37980
ath:AT2G38020,VCL1,Bra000035,AT2G38020
ath:AT2G38025,AT2G38025,Bra000036,AT2G38025
ath:AT2G38040,CAC3,Bra000037,AT2G38040
ath:AT2G38090,AT2G38090,Bra000038,AT2G38090
ath:AT2G38180,AT2G38180,Bra000041,AT2G38180
ath:AT2G38185,APD1,Bra000043,AT2G38185
ath:AT2G38250,AT2G38250,Bra000046,AT2G38250
ath:AT2G38270,CXIP2,Bra000047,AT2G38270
ath:AT2G27320,AT2G27320,Bra000050,AT2G27320
ath:AT2G38310,PYL4,Bra000052,AT2G38310
ath:AT2G38320,TBL34,Bra000053,AT2G38320
ath:AT2G38330,AT2G38330,Bra000055,AT2G38330
ath:AT2G38360,PRA1.B4,Bra000056,AT2G38360
ath:AT2G38370,AT2G38370,Bra000057,AT2G38370
ath:AT2G38400,AGT3,Bra000060,AT2G38400
ath:AT2G38450,AT2G38450,Bra000063,AT2G38450
ath:AT2G38470,WRKY33,Bra000064,AT2G38470
ath:AT2G38490,CIPK22,Bra000066,AT2G38490
ath:AT2G38500,AT2G38500,Bra000067,AT2G38500
ath:AT2G38560,TFIIS,Bra000069,AT2G38560
ath:AT2G38570,AT2G38570,Bra000070,AT2G38570
ath:AT2G38580,AT2G38580,Bra000071,AT2G38580
ath:AT2G38620,CDKB1,Bra000077,AT2G38620
ath:AT2G38680,AT2G38680,Bra000085,AT2G38680
ath:AT2G38690,AT2G38690,Bra000086,AT2G38690
ath:AT2G38710,AT2G38710,Bra000088,AT2G38710
ath:AT2G38740,AT2G38740,Bra000089,AT2G38740
ath:AT2G38750,ANNAT4,Bra000090,AT2G38750
ath:AT2G38780,AT2G38780,Bra000092,AT2G38780
ath:AT2G38790,AT2G38790,Bra000093,AT2G38790
ath:AT1G61000,AT1G61000,Bra000094,AT1G61000
ath:AT2G38800,AT2G38800,Bra000096,AT2G38800
ath:AT2G38810,HTA8,Bra000097,AT2G38810
